timestamp,theta,dist_mm,quality
1779352803257,0.15,00150.00,47
1779352803257,0.50,00150.00,47
1779352803257,0.86,00150.00,47
1779352803257,1.20,00150.00,47
1779352803257,1.53,00150.00,47
1779352803257,1.87,00150.00,47
1779352803257,2.21,00150.00,47
1779352803257,2.67,00149.00,47
1779352803257,3.01,00149.00,47
1779352803257,3.36,00149.00,47
1779352803257,3.70,00149.00,47
1779352803257,4.04,00149.00,47
1779352803257,4.28,00150.00,47
1779352803257,4.62,00150.00,47
1779352803257,4.97,00150.00,47
1779352803257,5.31,00150.00,47
1779352803257,5.64,00150.00,47
1779352803257,5.98,00150.00,47
1779352803257,6.33,00150.00,47
1779352803257,6.67,00150.00,47
1779352803257,7.01,00150.00,47
1779352803257,7.36,00150.00,47
1779352803257,7.70,00150.00,47
1779352803257,8.04,00150.00,47
1779352803257,8.39,00150.00,47
1779352803257,8.73,00150.00,47
1779352803257,9.07,00150.00,47
1779352803257,9.42,00150.00,47
1779352803257,9.74,00150.00,47
1779352803257,10.09,00150.00,47
1779352803257,10.44,00150.00,47
1779352803257,10.78,00150.00,47
1779352803257,11.12,00150.00,47
1779352803257,11.40,00151.00,47
1779352803257,11.75,00151.00,47
1779352803257,12.09,00151.00,47
1779352803257,12.44,00151.00,47
1779352803257,12.78,00151.00,47
1779352803257,13.12,00151.00,47
1779352803257,13.46,00151.00,47
1779352803257,13.81,00151.00,47
1779352803257,14.16,00151.00,47
1779352803257,14.44,00152.00,47
1779352803257,14.78,00152.00,47
1779352803257,15.12,00152.00,47
1779352803257,15.47,00152.00,47
1779352803257,15.81,00152.00,47
1779352803257,16.09,00153.00,47
1779352803257,16.44,00153.00,47
1779352803257,16.78,00153.00,47
1779352803257,17.12,00153.00,47
1779352803257,17.47,00153.00,47
1779352803257,17.75,00154.00,47
1779352803257,18.09,00154.00,47
1779352803257,18.44,00154.00,47
1779352803257,18.78,00154.00,47
1779352803257,19.12,00154.00,47
1779352803257,19.40,00155.00,47
1779352803257,19.75,00155.00,47
1779352803257,20.09,00155.00,47
1779352803257,20.43,00155.00,47
1779352803257,20.71,00156.00,47
1779352803257,21.06,00156.00,47
1779352803257,21.40,00156.00,47
1779352803257,21.75,00156.00,47
1779352803257,22.03,00157.00,47
1779352803257,22.37,00157.00,47
1779352803257,22.71,00157.00,47
1779352803257,23.06,00157.00,47
1779352803257,23.34,00158.00,47
1779352803257,23.69,00158.00,47
1779352803257,24.03,00158.00,47
1779352803257,24.31,00159.00,47
1779352803257,24.65,00159.00,47
1779352803257,25.00,00159.00,47
1779352803257,25.28,00160.00,47
1779352803257,25.62,00160.00,47
1779352803257,25.97,00160.00,47
1779352803257,26.25,00161.00,47
1779352803257,26.59,00161.00,47
1779352803257,26.93,00161.00,47
1779352803257,27.22,00162.00,47
1779352803257,27.56,00162.00,47
1779352803257,27.86,00163.00,47
