timestamp,theta,dist_mm,quality
1779353228060,53.73,00218.00,47
1779353228060,54.01,00220.00,47
1779353228060,54.35,00221.00,47
1779353228060,54.65,00222.00,47
1779353228060,55.00,00223.00,47
1779353228060,55.29,00225.00,47
1779353228060,55.59,00226.00,47
1779353228060,56.62,00227.00,47
1779353228060,57.96,00229.00,47
1779353228060,58.66,00228.00,47
1779353228060,59.06,00227.00,47
1779353228060,59.20,00000.00,0
1779353228060,59.46,00225.00,47
1779353228060,59.55,00000.00,0
1779353228060,59.81,00224.00,47
1779353228060,60.22,00223.00,47
1779353228060,60.24,00000.00,0
1779353228060,60.57,00222.00,47
1779353228060,60.59,00000.00,0
1779353228060,60.94,00000.00,0
1779353228060,60.97,00221.00,47
1779353228060,61.33,00220.00,47
1779353228060,61.63,00000.00,0
1779353228060,61.73,00219.00,47
1779353228060,62.07,00218.00,47
1779353228060,62.48,00217.00,47
1779353228060,62.83,00216.00,47
1779353228060,63.23,00215.00,47
1779353228060,63.58,00214.00,47
1779353228060,63.98,00213.00,47
1779353228060,64.32,00212.00,47
1779353228060,64.73,00211.00,47
1779353228060,65.08,00211.00,47
1779353228060,65.48,00210.00,47
1779353228060,65.82,00209.00,47
1779353228060,66.23,00208.00,47
1779353228060,66.58,00207.00,47
1779353228060,66.92,00207.00,47
1779353228060,67.32,00206.00,47
1779353228060,67.67,00205.00,47
1779353228060,68.08,00204.00,47
1779353228060,68.42,00204.00,47
1779353228060,68.82,00203.00,47
1779353228060,69.17,00202.00,47
1779353228060,69.51,00202.00,47
1779353228060,69.92,00201.00,47
1779353228060,70.26,00200.00,47
1779353228060,70.61,00200.00,47
1779353228060,71.02,00199.00,47
1779353228060,71.41,00198.00,47
1779353228060,71.76,00198.00,47
1779353228060,72.11,00197.00,47
1779353228060,72.50,00196.00,47
1779353228060,72.86,00196.00,47
1779353228060,73.25,00195.00,47
1779353228060,73.59,00195.00,47
1779353228060,73.95,00194.00,47
1779353228060,74.30,00194.00,47
1779353228060,74.70,00193.00,47
1779353228060,75.04,00193.00,47
1779353228060,75.43,00192.00,47
1779353228060,75.79,00192.00,47
1779353228060,76.14,00191.00,47
1779353228060,76.48,00191.00,47
1779353228060,76.89,00190.00,47
1779353228060,77.23,00190.00,47
1779353228060,77.64,00189.00,47
1779353228060,77.98,00189.00,47
1779353228060,78.33,00189.00,47
1779353228060,78.67,00188.00,47
1779353228060,79.01,00188.00,47
1779353228060,79.42,00187.00,47
1779353228060,79.76,00187.00,47
1779353228060,80.11,00187.00,47
1779353228060,80.51,00186.00,47
1779353228060,80.86,00186.00,47
1779353228060,81.20,00186.00,47
1779353228060,81.55,00185.00,47
1779353228060,81.89,00185.00,47
1779353228060,82.25,00185.00,47
1779353228060,82.64,00184.00,47
1779353228060,83.00,00184.00,47
1779353228060,83.34,00184.00,47
1779353228060,83.68,00184.00,47
1779353228060,84.09,00183.00,47
1779353228060,84.48,00182.00,47
1779353228060,84.84,00182.00,47
1779353228060,85.12,00183.00,47
1779353228060,85.42,00184.00,47
1779353228060,85.76,00184.00,47
1779353228060,86.22,00182.00,47
1779353228060,86.56,00182.00,47
1779353228060,86.90,00181.00,47
1779353228060,87.26,00181.00,47
1779353228060,87.60,00181.00,47
1779353228060,87.95,00181.00,47
1779353228060,88.36,00180.00,47
1779353228060,88.70,00180.00,47
1779353228060,89.04,00180.00,47
1779353228060,89.39,00180.00,47
1779353228060,89.73,00180.00,47
1779353228060,90.14,00179.00,47
1779353228060,90.48,00179.00,47
1779353228060,90.82,00179.00,47
1779353228060,91.17,00179.00,47
1779353228060,91.51,00179.00,47
1779353228060,91.87,00179.00,47
1779353228060,92.21,00179.00,47
1779353228060,92.56,00179.00,47
1779353228060,92.97,00178.00,47
1779353228060,93.31,00178.00,47
1779353228060,93.65,00178.00,47
1779353228060,94.00,00178.00,47
1779353228060,94.34,00178.00,47
1779353228060,94.69,00178.00,47
1779353228060,95.04,00178.00,47
1779353228060,95.39,00178.00,47
1779353228060,95.73,00178.00,47
1779353228060,96.08,00178.00,47
1779353228060,96.42,00178.00,47
1779353228060,96.76,00178.00,47
1779353228060,97.11,00178.00,47
1779353228060,97.47,00178.00,47
1779353228060,97.81,00178.00,47
1779353228060,98.15,00178.00,47
1779353228060,98.50,00178.00,47
1779353228060,98.84,00177.00,47
1779353228060,99.18,00178.00,47
1779353228060,99.53,00178.00,47
1779353228060,99.89,00178.00,47
1779353228060,100.23,00178.00,47
1779353228060,100.57,00178.00,47
1779353228060,100.92,00178.00,47
1779353228060,101.26,00178.00,47
1779353228060,101.61,00178.00,47
1779353228060,101.95,00178.00,47
1779353228060,102.29,00178.00,47
1779353228060,102.66,00178.00,47
1779353228060,103.00,00178.00,47
1779353228060,103.34,00178.00,47
1779353228060,103.68,00178.00,47
1779353228060,104.03,00178.00,47
1779353228060,104.33,00179.00,47
1779353228060,104.67,00179.00,47
1779353228060,105.01,00179.00,47
1779353228060,105.36,00179.00,47
1779353228060,105.70,00179.00,47
1779353228060,106.05,00179.00,47
1779353228060,106.34,00180.00,47
1779353228060,106.68,00180.00,47
1779353228060,107.03,00180.00,47
1779353228060,107.37,00180.00,47
1779353228060,107.72,00180.00,47
1779353228060,108.06,00180.00,47
1779353228060,108.36,00181.00,47
1779353228060,108.70,00181.00,47
1779353228060,109.04,00181.00,47
1779353228060,109.39,00181.00,47
1779353228060,109.73,00181.00,47
1779353228060,110.08,00182.00,47
1779353228060,110.43,00182.00,47
1779353228060,110.78,00182.00,47
1779353228060,111.06,00183.00,47
1779353228060,111.40,00183.00,47
1779353228060,111.75,00183.00,47
1779353228060,112.10,00183.00,47
1779353228060,112.39,00184.00,47
1779353228060,112.73,00184.00,47
1779353228060,113.08,00184.00,47
1779353228060,113.37,00185.00,47
1779353228060,113.71,00185.00,47
1779353228060,114.06,00185.00,47
1779353228060,114.41,00186.00,47
1779353228060,114.75,00186.00,47
1779353228060,115.11,00186.00,47
1779353228060,115.39,00187.00,47
1779353228060,115.73,00187.00,47
1779353228060,116.08,00187.00,47
1779353228060,116.37,00188.00,47
1779353228060,116.72,00188.00,47
1779353228060,117.06,00188.00,47
1779353228060,117.41,00189.00,47
1779353228060,117.75,00189.00,47
1779353228060,118.04,00190.00,47
1779353228060,118.39,00190.00,47
1779353228060,118.73,00190.00,47
1779353228060,119.03,00191.00,47
1779353228060,119.37,00191.00,47
1779353228060,119.72,00192.00,47
1779353228060,120.06,00192.00,47
1779353228060,120.34,00193.00,47
1779353228060,120.70,00193.00,47
1779353228060,120.98,00194.00,47
1779353228060,121.33,00194.00,47
1779353228060,121.67,00195.00,47
1779353228060,122.01,00195.00,47
1779353228060,122.31,00196.00,47
1779353228060,122.65,00196.00,47
1779353228060,122.95,00197.00,47
1779353228060,123.29,00197.00,47
1779353228060,123.64,00198.00,47
1779353228060,123.98,00198.00,47
1779353228060,124.28,00199.00,47
1779353228060,124.62,00199.00,47
1779353228060,124.90,00200.00,47
1779353228060,125.25,00201.00,47
1779353228060,125.59,00201.00,47
1779353228060,125.89,00202.00,47
1779353228060,126.23,00203.00,47
1779353228060,126.57,00203.00,47
1779353228060,126.87,00204.00,47
1779353228060,127.22,00204.00,47
1779353228060,127.50,00205.00,47
1779353228060,127.84,00206.00,47
1779353228060,128.20,00206.00,47
1779353228060,128.48,00207.00,47
1779353228060,128.83,00208.00,47
1779353228060,129.17,00208.00,47
1779353228060,129.47,00209.00,47
1779353228060,129.81,00210.00,47
1779353228060,130.11,00211.00,47
1779353228060,130.45,00211.00,47
1779353228060,130.73,00212.00,47
1779353228060,131.08,00213.00,47
1779353228060,131.37,00214.00,47
1779353228060,131.72,00215.00,47
1779353228060,132.06,00215.00,47
1779353228060,132.36,00216.00,47
1779353228060,132.70,00217.00,47
1779353228060,132.99,00218.00,47
1779353228060,133.34,00219.00,47
1779353228060,133.62,00220.00,47
1779353228060,133.97,00221.00,47
1779353228060,134.26,00222.00,47
1779353228060,134.60,00223.00,47
1779353228060,134.95,00223.00,47
1779353228060,135.25,00224.00,47
1779353228060,135.59,00225.00,47
1779353228060,135.89,00226.00,47
1779353228060,136.23,00227.00,47
1779353228060,136.51,00228.00,47
1779353228060,136.87,00229.00,47
1779353228060,137.15,00230.00,47
1779353228060,137.50,00231.00,47
1779353228060,137.80,00232.00,47
1779353228060,138.14,00234.00,47
1779353228060,138.43,00235.00,47
1779353228060,138.78,00236.00,47
1779353228060,139.06,00237.00,47
1779353228060,139.41,00238.00,47
1779353228060,139.70,00239.00,47
1779353228060,140.04,00240.00,47
1779353228060,140.34,00242.00,47
1779353228060,140.69,00243.00,47
1779353228060,140.98,00244.00,47
1779353228060,141.33,00245.00,47
1779353228060,141.61,00247.00,47
1779353228060,141.95,00248.00,47
1779353228060,142.25,00249.00,47
1779353228060,142.54,00251.00,47
1779353228060,142.89,00252.00,47
1779353228060,143.23,00253.00,47
1779353228060,143.51,00255.00,47
1779353228060,143.87,00256.00,47
1779353228060,144.15,00258.00,47
1779353228060,144.45,00259.00,47
1779353228060,144.79,00261.00,47
1779353228060,145.07,00262.00,47
1779353228060,145.44,00264.00,47
1779353228060,145.72,00266.00,47
1779353228060,146.06,00267.00,47
1779353228060,146.35,00269.00,47
1779353228060,146.65,00271.00,47
1779353228060,147.00,00272.00,47
1779353228060,147.28,00274.00,47
1779353228060,147.62,00276.00,47
1779353228060,147.92,00278.00,47
1779353228060,148.22,00280.00,47
1779353228060,148.56,00282.00,47
1779353228060,148.84,00283.00,47
1779353228060,149.18,00285.00,47
1779353228060,149.48,00287.00,47
1779353228060,149.78,00290.00,47
1779353228060,150.12,00292.00,47
1779353228060,150.40,00294.00,47
1779353228060,150.75,00296.00,47
1779353228060,151.05,00299.00,47
1779353228060,151.68,00301.00,47
1779353228060,152.50,00319.00,47
1779353228060,152.84,00317.00,47
1779353228060,153.18,00316.00,47
1779353228060,153.59,00314.00,47
1779353228060,153.93,00313.00,47
1779353228060,154.28,00312.00,47
1779353228060,154.69,00311.00,47
1779353228060,155.03,00309.00,47
1779353228060,155.37,00308.00,47
1779353228060,155.78,00307.00,47
1779353228060,156.12,00306.00,47
1779353228060,156.21,00000.00,0
1779353228060,156.48,00304.00,47
1779353228060,156.87,00303.00,47
1779353228060,156.91,00000.00,0
1779353228060,157.21,00302.00,47
1779353228060,157.26,00000.00,0
1779353228060,157.92,00301.00,47
1779353228060,162.45,00000.00,0
1779353228060,163.15,00000.00,0
1779353228060,163.49,00000.00,0
1779353228060,165.23,00128.00,47
1779353228060,165.62,00127.00,47
1779353228060,165.98,00127.00,47
1779353228060,166.44,00126.00,47
1779353228060,166.78,00126.00,47
1779353228060,167.12,00126.00,47
1779353228060,167.53,00125.00,47
1779353228060,167.87,00125.00,47
1779353228060,168.22,00125.00,47
1779353228060,168.68,00124.00,47
1779353228060,169.03,00124.00,47
1779353228060,169.44,00123.00,47
1779353228060,169.78,00123.00,47
1779353228060,170.12,00123.00,47
1779353228060,170.46,00123.00,47
1779353228060,170.94,00122.00,47
1779353228060,171.28,00122.00,47
1779353228060,171.62,00122.00,47
1779353228060,171.96,00122.00,47
1779353228060,172.44,00121.00,47
1779353228060,172.78,00121.00,47
1779353228060,173.12,00121.00,47
1779353228060,173.47,00121.00,47
1779353228060,173.87,00120.00,47
1779353228060,174.22,00120.00,47
1779353228060,174.56,00120.00,47
1779353228060,174.90,00120.00,47
1779353228060,175.25,00120.00,47
1779353228060,175.72,00119.00,47
1779353228060,176.06,00119.00,47
1779353228060,176.40,00119.00,47
1779353228060,176.75,00119.00,47
1779353228060,177.09,00119.00,47
1779353228060,177.45,00119.00,47
1779353228060,177.79,00119.00,47
1779353228060,178.25,00118.00,47
1779353228060,178.59,00118.00,47
1779353228060,178.95,00118.00,47
1779353228060,179.30,00118.00,47
1779353228060,179.64,00118.00,47
1779353228060,179.98,00118.00,47
1779353228060,180.32,00118.00,47
1779353228060,180.80,00117.00,47
1779353228060,181.14,00117.00,47
1779353228060,181.48,00117.00,47
1779353228060,181.82,00117.00,47
1779353228060,182.17,00117.00,47
1779353228060,182.51,00117.00,47
1779353228060,182.86,00117.00,47
1779353228060,183.21,00117.00,47
1779353228060,183.56,00117.00,47
1779353228060,183.97,00116.00,47
1779353228060,184.31,00116.00,47
1779353228060,184.65,00116.00,47
1779353228060,185.00,00116.00,47
1779353228060,185.34,00116.00,47
1779353228060,185.69,00116.00,47
1779353228060,186.03,00116.00,47
1779353228060,186.39,00116.00,47
1779353228060,186.73,00116.00,47
1779353228060,187.08,00116.00,47
1779353228060,187.42,00116.00,47
1779353228060,187.76,00116.00,47
1779353228060,188.11,00116.00,47
1779353228060,188.45,00116.00,47
1779353228060,188.81,00116.00,47
1779353228060,189.15,00116.00,47
1779353228060,189.50,00116.00,47
1779353228060,189.84,00116.00,47
1779353228060,190.18,00116.00,47
1779353228060,190.53,00116.00,47
1779353228060,190.87,00116.00,47
1779353228060,191.23,00116.00,47
1779353228060,191.57,00116.00,47
1779353228060,191.92,00116.00,47
1779353228060,192.26,00116.00,47
1779353228060,192.61,00116.00,47
1779353228060,192.95,00116.00,47
1779353228060,193.29,00116.00,47
1779353228060,193.66,00116.00,47
1779353228060,194.00,00116.00,47
1779353228060,194.34,00116.00,47
1779353228060,194.68,00116.00,47
1779353228060,195.03,00116.00,47
1779353228060,195.37,00116.00,47
1779353228060,195.72,00116.00,47
1779353228060,196.07,00116.00,47
1779353228060,196.36,00117.00,47
1779353228060,196.70,00117.00,47
1779353228060,197.05,00117.00,47
1779353228060,197.40,00117.00,47
1779353228060,197.75,00117.00,47
1779353228060,198.09,00117.00,47
1779353228060,198.44,00117.00,47
1779353228060,198.78,00117.00,47
1779353228060,199.12,00117.00,47
1779353228060,199.36,00118.00,47
1779353228060,199.70,00118.00,47
1779353228060,200.04,00118.00,47
1779353228060,200.40,00118.00,47
1779353228060,200.75,00118.00,47
1779353228060,201.09,00118.00,47
1779353228060,201.43,00118.00,47
1779353228060,201.78,00118.00,47
1779353228060,202.01,00119.00,47
1779353228060,202.36,00119.00,47
1779353228060,202.70,00119.00,47
1779353228060,202.99,00000.00,0
1779353228060,203.04,00119.00,47
1779353228060,203.40,00119.00,47
1779353228060,203.69,00000.00,0
1779353228060,203.75,00119.00,47
1779353228060,203.98,00120.00,47
1779353228060,204.03,00000.00,0
1779353228060,204.32,00120.00,47
1779353228060,204.38,00000.00,0
1779353228060,204.67,00120.00,47
1779353228060,204.72,00000.00,0
1779353228060,205.07,00000.00,0
1779353228060,205.36,00120.00,47
1779353228060,205.42,00000.00,0
1779353228060,205.76,00000.00,0
1779353228060,206.11,00000.00,0
1779353228060,206.46,00000.00,0
1779353228060,206.81,00000.00,0
1779353228060,207.15,00000.00,0
1779353228060,207.50,00000.00,0
1779353228060,207.84,00000.00,0
1779353228060,208.19,00000.00,0
1779353228060,208.54,00000.00,0
1779353228060,208.88,00000.00,0
