timestamp,theta,dist_mm,quality
1779352994044,0.10,00145.00,47
1779352994044,0.45,00145.00,47
1779352994044,0.80,00145.00,47
1779352994044,1.14,00145.00,47
1779352994044,1.28,00145.00,47
1779352994044,1.62,00145.00,47
1779352994044,1.97,00145.00,47
1779352994044,2.31,00145.00,47
1779352994044,2.65,00145.00,47
1779352994044,3.00,00145.00,47
1779352994044,3.34,00145.00,47
1779352994044,3.70,00145.00,47
1779352994044,4.04,00145.00,47
1779352994044,4.32,00146.00,47
1779352994044,4.67,00146.00,47
1779352994044,5.03,00146.00,47
1779352994044,5.37,00146.00,47
1779352994044,5.72,00146.00,47
1779352994044,6.06,00146.00,47
1779352994044,6.41,00146.00,47
1779352994044,6.75,00146.00,47
1779352994044,7.09,00146.00,47
1779352994044,7.39,00147.00,47
1779352994044,7.73,00147.00,47
1779352994044,8.07,00147.00,47
1779352994044,8.42,00147.00,47
1779352994044,8.78,00147.00,47
1779352994044,9.12,00147.00,47
1779352994044,9.46,00147.00,47
1779352994044,9.74,00148.00,47
1779352994044,10.09,00148.00,47
1779352994044,10.45,00148.00,47
1779352994044,10.79,00148.00,47
1779352994044,11.14,00148.00,47
1779352994044,11.42,00149.00,47
1779352994044,11.78,00149.00,47
1779352994044,12.12,00149.00,47
1779352994044,12.46,00149.00,47
1779352994044,12.81,00149.00,47
1779352994044,13.05,00150.00,47
1779352994044,13.39,00150.00,47
1779352994044,13.73,00150.00,47
1779352994044,14.07,00150.00,47
1779352994044,14.37,00151.00,47
1779352994044,14.72,00151.00,47
1779352994044,15.06,00151.00,47
1779352994044,15.40,00151.00,47
1779352994044,15.70,00152.00,47
1779352994044,16.05,00152.00,47
1779352994044,16.39,00152.00,47
1779352994044,16.73,00152.00,47
1779352994044,17.03,00153.00,47
1779352994044,17.37,00153.00,47
1779352994044,17.72,00153.00,47
1779352994044,18.01,00154.00,47
1779352994044,18.36,00154.00,47
1779352994044,18.70,00154.00,47
1779352994044,19.04,00154.00,47
1779352994044,19.34,00155.00,47
1779352994044,19.69,00155.00,47
1779352994044,19.97,00156.00,47
1779352994044,20.31,00156.00,47
1779352994044,20.67,00156.00,47
1779352994044,20.95,00157.00,47
1779352994044,21.29,00157.00,47
1779352994044,21.59,00158.00,47
1779352994044,21.93,00158.00,47
1779352994044,22.28,00158.00,47
1779352994044,22.58,00159.00,47
1779352994044,22.92,00159.00,47
1779352994044,23.26,00159.00,47
1779352994044,23.54,00160.00,47
1779352994044,23.89,00160.00,47
1779352994044,24.19,00161.00,47
1779352994044,24.53,00161.00,47
1779352994044,24.82,00162.00,47
1779352994044,25.17,00162.00,47
1779352994044,25.51,00162.00,47
1779352994044,25.80,00163.00,47
1779352994044,26.09,00164.00,47
1779352994044,26.43,00164.00,47
1779352994044,26.78,00165.00,47
1779352994044,27.12,00165.00,47
1779352994044,27.42,00166.00,47
1779352994044,27.76,00166.00,47
1779352994044,28.06,00167.00,47
1779352994044,28.41,00167.00,47
1779352994044,28.69,00168.00,47
1779352994044,29.03,00168.00,47
1779352994044,29.33,00169.00,47
1779352994044,29.67,00169.00,47
1779352994044,29.97,00170.00,47
1779352994044,30.25,00171.00,47
1779352994044,30.59,00171.00,47
1779352994044,30.89,00172.00,47
1779352994044,31.23,00172.00,47
1779352994044,31.57,00173.00,47
1779352994044,31.87,00174.00,47
1779352994044,32.22,00174.00,47
1779352994044,32.50,00175.00,47
