timestamp,theta,dist_mm,quality
1779413535915,0.01,00143.00,47
1779413535915,0.28,00143.00,47
1779413535915,0.53,00143.00,47
1779413535915,0.78,00143.00,47
1779413535915,1.04,00143.00,47
1779413535915,1.30,00143.00,47
1779413535915,1.54,00143.00,47
1779413535915,1.81,00143.00,47
1779413535915,2.06,00144.00,47
1779413535915,2.31,00144.00,47
1779413535915,2.58,00143.00,47
1779413535915,2.82,00143.00,47
1779413535915,3.08,00144.00,47
1779413535915,3.34,00144.00,47
1779413535915,3.59,00144.00,47
1779413535915,3.84,00144.00,47
1779413535915,4.11,00144.00,47
1779413535915,4.36,00144.00,47
1779413535915,4.61,00144.00,47
1779413535915,4.87,00144.00,47
1779413535915,5.12,00144.00,47
1779413535915,5.37,00144.00,47
1779413535915,5.64,00145.00,47
1779413535915,5.89,00145.00,47
1779413535915,6.14,00145.00,47
1779413535915,6.41,00145.00,47
1779413535915,6.65,00145.00,47
1779413535915,6.90,00145.00,47
1779413535915,7.17,00145.00,47
1779413535915,7.42,00146.00,47
1779413535915,7.68,00146.00,47
1779413535915,7.93,00146.00,47
1779413535915,8.18,00146.00,47
1779413535915,8.45,00146.00,47
1779413535915,8.70,00146.00,47
1779413535915,8.95,00147.00,47
1779413535915,9.22,00147.00,47
1779413535915,9.46,00147.00,47
1779413535915,9.72,00146.00,47
1779413535915,9.98,00147.00,47
1779413535915,10.23,00147.00,47
1779413535915,10.48,00147.00,47
1779413535915,10.74,00147.00,47
1779413535915,11.00,00147.00,47
1779413535915,11.25,00148.00,47
1779413535915,11.51,00148.00,47
1779413535915,11.76,00148.00,47
1779413535915,12.01,00148.00,47
1779413535915,12.28,00148.00,47
1779413535915,12.53,00148.00,47
1779413535915,12.78,00148.00,47
1779413535915,13.05,00149.00,47
1779413535915,13.29,00149.00,47
1779413535915,13.55,00149.00,47
1779413535915,13.81,00149.00,47
1779413535915,14.06,00150.00,47
1779413535915,14.31,00150.00,47
1779413535915,14.57,00150.00,47
1779413535915,14.83,00150.00,47
1779413535915,15.07,00151.00,47
1779413535915,15.34,00151.00,47
1779413535915,15.59,00151.00,47
1779413535915,15.86,00151.00,47
1779413535915,16.11,00152.00,47
1779413535915,16.37,00152.00,47
1779413535915,16.64,00152.00,47
